Wall time,Step,Value
1610755513,1,25.60000038
1610755606,2,26
1610755682,3,24.79999924
1610755773,4,31.20000076
1610755863,5,36.79999924
1610755953,6,34.59999847
1610756037,7,41.20000076
1610756121,8,39
1610756274,9,33.09999847
1610756409,10,30.10000038
1610756548,11,29.20000076
1610756680,12,31.20000076
1610756821,13,30.20000076
1610756957,14,24.89999962
1610757095,15,27.20000076
1610757231,16,29.5
1610757403,17,27.93333244
1610757558,18,28.86666679
1610757723,19,29.20000076
1610757895,20,24.60000038
1610758077,21,26.39999962
1610758254,22,26.13333321
1610758436,23,25.46666718
1610758620,24,22.60000038
1610758846,25,23.85000038
1610759038,26,24.85000038
1610759235,27,20.95000076
1610759432,28,24.14999962
1610759626,29,21.60000038
1610759822,30,23.25
1610760019,31,21.35000038
1610760210,32,21.25
1610760465,33,26.92000008
1610760681,34,25.36000061
1610760895,35,25.28000069
1610761113,36,24.76000023
1610761328,37,25.31999969
1610761543,38,23.04000092
1610761760,39,23.68000031
1610761977,40,26.52000046
1610762252,41,24.13333321
1610762477,42,23.73333359
1610762700,43,20.76666641
1610762924,44,22.66666603
1610763145,45,21.29999924
1610763371,46,20.23333359
1610763596,47,23.06666756
1610763822,48,20.46666718
1610764104,49,21.37142944
1610764334,50,20.54285622
1610764567,51,20.5714283
1610764796,52,19.60000038
1610765029,53,20.7142849
1610765263,54,20.45714378
1610765496,55,20.20000076
1610765729,56,20.1428566
1610766038,57,22.17499924
1610766281,58,21.67499924
1610766519,59,21.875
1610766758,60,21.10000038
1610766995,61,22.52499962
1610767235,62,21.29999924
1610767476,63,19
1610767716,64,19.77499962
1610768033,65,21.48888969
1610768279,66,19.86666679
1610768528,67,16.82222176
1610768776,68,16.26666641
1610769025,69,18.46666718
1610769276,70,17.33333397
1610769527,71,18.28888893
1610769774,72,15.55555534
1610770110,73,21.15999985
1610770368,74,21.42000008
1610770624,75,19.29999924
1610770881,76,20.44000053
1610771129,77,19.92000008
1610771356,78,19.07999992
1610771577,79,20.02000046
1610771799,80,19.29999924
1610772103,81,23.39999962
1610772333,82,23.0363636
1610772563,83,21.83636284
1610772793,84,21.79999924
1610773021,85,21.98181725
1610773240,86,21.72727203
1610773468,87,21.79999924
1610773697,88,22.47272682
1610774017,89,22.51666641
1610774251,90,21.08333397
1610774473,91,20.70000076
1610774709,92,19.63333321
1610774948,93,19
1610775194,94,19.60000038
1610775430,95,19.13333321
1610775665,96,19.39999962
1610775999,97,21.87692261
1610776240,98,22.07692337
1610776483,99,21.58461571
1610776725,100,20.23077011
1610776964,101,21.01538467
1610777207,102,19.63076973
1610777449,103,20.69230843
1610777690,104,20.24615479
1610778039,105,19.48571396
1610778292,106,17.20000076
1610778541,107,16.9285717
1610778790,108,18.02857208
1610779035,109,18.29999924
1610779287,110,16.82857132
1610779536,111,17.3571434
1610779788,112,18.61428642
1610780163,113,20.58666611
1610780426,114,21.26666641
1610780686,115,19.81333351
1610780951,116,19.30666733
1610781212,117,20.26666641
1610781473,118,19.36000061
1610781735,119,22.2266674
1610781996,120,19.2266674
1610782380,121,17.92499924
1610782652,122,16.6875
1610782919,123,16.41250038
1610783186,124,16.1875
1610783458,125,17.35000038
1610783727,126,14.91250038
1610783997,127,15.73750019
1610784265,128,15.5625
1610784673,129,18.50588226
1610784982,130,17.71764755
1610785261,131,18.21176529
1610785551,132,17.78823471
1610785828,133,18.57647133
1610786107,134,18.63529396
1610786387,135,19.24705887
1610786644,136,19
1610787062,137,14.01111126
1610787350,138,15.05555534
1610787629,139,13.69999981
1610787918,140,16.03333282
1610788199,141,17.11111069
1610788484,142,15.84444427
1610788766,143,15.25555515
1610789048,144,16.91111183
1610789483,145,14
1610789775,146,15.58947372
1610790074,147,15.51578903
1610790364,148,16.74736786
1610790617,149,15.56842136
1610790906,150,16.72631645
1610791187,151,14.74736881
1610791472,152,14.30526352
1610791917,153,15.22000027
1610792217,154,15.05000019
1610792515,155,16.18000031
1610792814,156,14.02000046
1610793133,157,13.90999985
1610793414,158,15.72999954
1610793721,159,16.44000053
1610793990,160,15.14999962
